S.No.,Question,Ans1,Ans2,Ans3,Ans4,Correct_Ans
1,"यदि 5 + 6 = 61 हो, हो तो 3+5 = ?",64,82,34,43,34
2,"प्रत्येक 4 वर्षों के अन्तराल पर पैदा हुये 5 बच्चों की आयु का योग 70 हो, तो सबसे बड़े बच्चे की आयु क्या है ?",18,12,21,22,22
3,यदि A*B = A+B+AB हो तो 3*5 – 1*6 का मान ज्ञात करो।,36,23,10,13,10
4,अर्जुन अपने घर से आफिस के लिये निकलता है 5 किमी. पूर्व दिशा में जाकर वह अपने दाए ओर मुड़ता है फिर 3 किमी. चलकर अपने बाएं मुड़ जाता है 3 किमी. चलता है फिर बाएं मुड़कर 3 किमी. चलता है तो अब वह प्रारंभिक स्थान से कितनी दूरी पर है,14 किमी,8 किमी,16 किमी,11 किमी,8 किमी
5,"यदि बीते कल से दो दिन पहले रविवार था, तो परसों कौन-सा दिन होगा ?",बुधवार,वीरवार,शुक्रवार,शनिवार,शुक्रवार
6,"यदि मैं उत्तर की ओर अपना दायां हाथ फैलाकर खड़ा हूँ, तो यह बताओ कि मेरी पीठ किस दिशा में है ?",दक्षिण – पूर्व,पूर्व,पश्चिम,उत्तर-पश्चिम,पूर्व
7,"यदि 5 + 6 = 61 हो, हो तो 3+5 = ?",64,82,34,43,34
8,"प्रत्येक 4 वर्षों के अन्तराल पर पैदा हुये 5 बच्चों की आयु का योग 70 हो, तो सबसे बड़े बच्चे की आयु क्या है ?",18,12,21,22,22
9,यदि A*B = A+B+AB हो तो 3*5 – 1*6 का मान ज्ञात करो।,36,23,10,13,10
10,अर्जुन अपने घर से आफिस के लिये निकलता है 5 किमी. पूर्व दिशा में जाकर वह अपने दाए ओर मुड़ता है फिर 3 किमी. चलकर अपने बाएं मुड़ जाता है 3 किमी. चलता है फिर बाएं मुड़कर 3 किमी. चलता है तो अब वह प्रारंभिक स्थान से कितनी दूरी पर है,14 किमी,8 किमी,16 किमी,11 किमी,8 किमी
11,"यदि बीते कल से दो दिन पहले रविवार था, तो परसों कौन-सा दिन होगा ?",बुधवार,वीरवार,शुक्रवार,शनिवार,शुक्रवार
12,"यदि मैं उत्तर की ओर अपना दायां हाथ फैलाकर खड़ा हूँ, तो यह बताओ कि मेरी पीठ किस दिशा में है ?",दक्षिण – पूर्व,पूर्व,पश्चिम,उत्तर-पश्चिम,पूर्व
13,"यदि 5 + 6 = 61 हो, हो तो 3+5 = ?",64,82,34,43,34
14,"प्रत्येक 4 वर्षों के अन्तराल पर पैदा हुये 5 बच्चों की आयु का योग 70 हो, तो सबसे बड़े बच्चे की आयु क्या है ?",18,12,21,22,22
15,यदि A*B = A+B+AB हो तो 3*5 – 1*6 का मान ज्ञात करो।,36,23,10,13,10
16,अर्जुन अपने घर से आफिस के लिये निकलता है 5 किमी. पूर्व दिशा में जाकर वह अपने दाए ओर मुड़ता है फिर 3 किमी. चलकर अपने बाएं मुड़ जाता है 3 किमी. चलता है फिर बाएं मुड़कर 3 किमी. चलता है तो अब वह प्रारंभिक स्थान से कितनी दूरी पर है,14 किमी,8 किमी,16 किमी,11 किमी,8 किमी
17,"यदि बीते कल से दो दिन पहले रविवार था, तो परसों कौन-सा दिन होगा ?",बुधवार,वीरवार,शुक्रवार,शनिवार,शुक्रवार
18,"यदि मैं उत्तर की ओर अपना दायां हाथ फैलाकर खड़ा हूँ, तो यह बताओ कि मेरी पीठ किस दिशा में है ?",दक्षिण – पूर्व,पूर्व,पश्चिम,उत्तर-पश्चिम,पूर्व
